2F4U,Too Fast For You
4YEO,For Your Eyes Only
AAMOF,As a Matter of Fact
ACK,Acknowledgment
AFAIK,As far as I know
AFAIR,As far as I remember
AFK,Away from Keyboard
AKA,Also known as
B2K,Back to Keyboard
BTT,Back to Topic
BTW,By the Way
B/C,Because
C&P,Copy and Paste
CU,See you
CYS,Check your Settings
DIY,Do it Yourself
EOBD,End of Business Day
EOD,End of Discussion
EOM,End of Message
EOT,End of Thread
FAQ,Frequently asked Questions
FACK,Full Acknowledge
FKA,Formerly known as
FWIW,For what it's Worth
FYI,For your Information
FTW,For the Win
HF,Have fun
HTH,Hope this Helps
IDK,I don't know
IIRC,If I Remember Correctly
IMHO,In my Humble Opinion
IMO,In my Opinion
IMNSHO,In my not so Honest Opinion
IOW,In other Words
ITT,In this Thread
LOL,Laughing out loud
DGMW,Don't get me wrong
MMW,Mark my Words
N/A,Not Available
NaN,Not a Number
NNTR,No need to Reply
noob,Newbie
NOYB,None of your Business
NRN,No Reply Necessary
OMG,Oh my God
OP,Original Poster
OT,Off Topic
OTOH,On the other Hand
PEBKAC,Problem exists between Keyboard and Chair
POV,Point of View
ROTFL,Rolling on the Floor Laughing
RSVP,Repondez s'il vous plait
RTFM,Read the fine Manual
SCNR,Sorry could not Resist
SFLR,Sorry for late Reply
SPOC,Single Point of Contact
TBA,To be Announced
TBC,To be Continued
TIA,Thanks in Advance
TGIF,Thanks God its Friday
THX,Thanks
TQ,Thank You
TYVM,Thank You Very Much
TYT,Take your Time
TTYL,Talk to you Later
w00t,Whoomp there it is
WFM,Works for Me
WRT,With Regard to
WTH,What the Heck
WTF,What the Fuck
YMMD,You made my Day
YMMV,Your Mileage may vary
YAM,Yet Another Meeting
ICYMI,In Case you missed it
